"Country","Year","Physicians density (per 1000 population)","Nursing and midwifery personnel density (per 1000 population)","Dentistry personnel density (per 1000 population)","Pharmaceutical personnel density (per 1000 population)","Laboratory health workers density (per 1000 population)","Environmental and public health workers density (per 1000 population)","Community and traditional health workers density (per 1000 population)","Other health workers density (per 1000 population)","Health management &amp; support workers density (per 1000 population)"
"Lebanon"," 2001","3.424","1.237","1.275","1","","","","",""
"Lesotho"," 2003","0.047","0.591","0.008","0.033","0.046","0.029","","0.018","0.003"
"Liberia"," 2010","0.023","0.456","0.006","0.012","0.101","0.044","0.061","0.12",""
"Liberia"," 2008","0.014","0.266","0.001","0.073","0.031","0.011","","0.053","0.014"
"Liberia"," 2004","0.032","0.325","0.004","0.011","0.068","0.047","","0.17","0.163"
"Libya"," 2014","2.092","6.905","0.732","0.628","","","","",""
"Libya"," 2009","1.934","6.923","0.611","0.366","","","","",""
"Libya"," 2008","1.823","5.47","0.334","0.365","","","","",""
"Libya"," 2004","1.24","4.762","0.149","0.198","","","","",""
"Libya"," 1997","1.259","3.512","0.137","0.242","","","","",""
"Lithuania"," 2015","4.379","8.05","0.919","","","","","3.62",""
"Lithuania"," 2014","4.33","7.951","0.915","","","","","3.454",""
"Lithuania"," 2013","4.268","7.837","0.904","","","","","3.324",""
"Lithuania"," 2012","4.178","7.819","0.89","","","","","3.193",""
"Lithuania"," 2011","4.041","7.723","0.81","","","","","3.038",""
"Lithuania"," 2010","3.915","7.596","0.786","","","","","2.947",""
"Lithuania"," 2003","","","","0.666","","","","",""
"Lithuania"," 1999","4.147","","0.656","","","","","",""
"Lithuania"," 1998","4.125","","0.637","","","","","",""
"Lithuania"," 1997","4.129","","0.602","","","","","",""
"Lithuania"," 1996","4.098","","0.474","","","","","",""
"Lithuania"," 1995","4.062","","0.48","","","","","",""
"Luxembourg"," 2016","2.921","","0.954","","","","","",""
"Luxembourg"," 2015","2.92","12.326","0.892","0.698","","","","7.984",""
"Luxembourg"," 2014","2.855","12.311","0.855","0.686","","","","7.834",""
"Luxembourg"," 2013","2.799","12.267","0.866","0.701","","","","7.624",""
"Luxembourg"," 2012","2.776","12.252","0.828","0.714","","","","7.553",""
"Luxembourg"," 2011","2.748","11.599","0.838","0.719","","","","7.01",""
"Luxembourg"," 2010","2.764","11.392","0.831","0.736","","","","6.824",""
"Madagascar"," 2012","0.143","0.218","0.008","0","","0.034","","",""
"Madagascar"," 2011","0.144","0.219","0.008","0","","0.037","","",""
"Madagascar"," 2010","0.196","0.224","0.009","0","","0.042","","0.002",""
"Madagascar"," 2009","0.182","0.244","0.009","0","","0.032","","0.002",""
"Madagascar"," 2008","0.187","0.282","0.01","0","","0.053","","0.002",""
"Madagascar"," 2007","0.182","0.295","0.01","0","","0.066","","0.002",""
"Madagascar"," 2006","0.171","0.303","0.01","0","","0.07","","0.001",""
"Madagascar"," 2005","0.181","0.351","0.011","0","","0.072","","0.001",""
"Madagascar"," 2004","0.157","0.286","0.009","0","","0.059","","0.001",""
"Madagascar"," 2003","0.148","0.304","0.009","0","","0.075","","0.001",""
"Madagascar"," 2002","0.136","0.313","0.007","0","","0.078","","0.001",""
"Malawi"," 2009","0.018","0.336","0.013","0.015","0.036","0.03","","0.134",""
"Malawi"," 2008","0.018","0.28","0.015","0.021","0.041","0.023","0.723","0.137","0.245"
"Malawi"," 2004","0.021","0.585","","","0.004","","","0.057",""
"Malaysia"," 2015","1.533","4.124","0.504","0.522","0.301","0.149","","0.237",""
"Malaysia"," 2011","1.281","3.397","0.149","0.434","","","","",""
"Malaysia"," 2010","1.173","3.208","0.355","0.394","0.25","0.114","0.435","0.552",""
"Malaysia"," 2008","0.923","2.678","0.134","","","","","",""
"Malaysia"," 2007","","","","0.171","","","","0.297",""
"Malaysia"," 2002","0.697","1.778","0.089","0.118","","","","",""
"Malaysia"," 2000","0.689","1.658","0.092","0.1","","","","",""
"Maldives"," 2015","3.611","8.222","0.17","1.075","","","","",""
"Maldives"," 2014","2.154","6.536","0.112","","1.018","","1.424","0.106",""
"Maldives"," 2010","1.579","5.617","0.096","0.743","0.986","","1.777","0.066",""
"Maldives"," 2009","1.61","5.65","0.138","0.631","0.964","","1.57","0.064",""
"Maldives"," 2007","1.749","4.878","","0.903","0.944","","1.515","0.048",""
"Maldives"," 2004","1.007","2.954","0.047","0.804","0.56","","1.717","0.047",""
"Maldives"," 1996","0.666","1.39","","0.782","0.185","0.185","1.244","0.323",""
"Maldives"," 1993","0.285","0.776","","0.57","0.087","0.14","1.181","0.178",""
"Maldives"," 1991","0.192","0.653","","0.47","0.074","0.113","1.019","0.17",""
"Mali"," 2010","0.085","0.443","0.007","0.009","0.032","0.014","0.007","0.311","0.264"
"Mali"," 2009","0.076","0.44","0.008","0.008","0.028","0.013","0.008","0.293","0.249"
"Mali"," 2007","0.077","0.209","","0.016","","0.019","","0.113","0.209"
"Mali"," 2004","0.084","0.668","0.007","0.028","0.021","0.019","","0.03","0.052"
"Malta"," 2015","3.908","9.141","0.492","1.333","","","","",""
"Malta"," 2014","3.749","9.083","0.481","1.18","","","","",""
"Malta"," 2013","3.518","7.986","0.473","1.125","","","","",""
"Malta"," 2012","3.323","7.553","0.457","1.092","","","","",""
"Malta"," 2011","3.185","7.525","0.449","0.809","","","","",""
"Malta"," 2010","3.104","7.256","0.447","0.73","","","","",""
"Marshall Islands"," 2012","0.456","3.551","0.494","0.133","0.532","","","1.31",""
"Marshall Islands"," 2007","0.595","3.606","0.249","0.115","0.479","","","0.479",""
"Mauritania"," 2009","0.127","0.658","0.027","0.035","0.036","0.056","","0.06","0.189"
"Mauritania"," 2004","0.102","0.618","0.021","0.026","0.035","","","0.016","0.345"
"Mauritius"," 2015","2.003","3.347","0.298","0.39","","","","",""
"Mauritius"," 2014","1.915","3.252","0.289","0.389","","","","",""
"Mauritius"," 2013","1.619","3.136","0.278","0.364","","","","",""
"Mauritius"," 2012","1.368","2.97","0.239","0.343","","","","",""
"Mauritius"," 2011","1.246","2.929","0.214","0.326","","","","",""
"Mauritius"," 2010","1.202","2.885","0.208","0.321","","","","",""
"Mauritius"," 2009","1.187","2.816","0.201","0.311","","","","",""
"Mauritius"," 2008","1.171","2.746","0.19","0.281","","","","",""
"Mauritius"," 2007","1.156","2.676","0.185","0.265","","","","",""
"Mauritius"," 2004","1.072","3.787","0.192","1.174","0.266","0.196","0.194","0.119","1.667"
"Mexico"," 2015","2.231","2.645","0.125","","","","","",""
"Mexico"," 2014","2.118","2.572","0.123","","","","","",""
"Mexico"," 2013","2.071","2.509","0.117","","","","","",""
"Mexico"," 2012","2.029","2.449","0.112","","","","","",""
"Mexico"," 2011","2.019","2.412","0.112","","","","","",""
"Mexico"," 2010","1.922","2.32","0.111","","","","","",""
"Mexico"," 2000","1.905","0.863","0.761","0.031","0.442","","","2.304","4.011"
"Micronesia (Federated States of)"," 2009","0.192","3.607","","","","","","",""
"Micronesia (Federated States of)"," 2008","0.613","2.68","0.383","0.153","0.469","4.145","0.297","0.967","0.412"
"Micronesia (Federated States of)"," 2005","0.584","2.345","0.122","0.151","","","","",""
"Micronesia (Federated States of)"," 2003","0.562","2.34","0.094","0.187","","","","",""
"Micronesia (Federated States of)"," 2000","0.596","3.882","0.13","","","","","",""
"Monaco"," 2014","6.645","20.521","1.01","2.605","","","","",""
"Monaco"," 2013","6.661","18.998","1.013","","","","","",""
"Monaco"," 2012","6.791","18.102","0.989","2.567","","","","",""
"Monaco"," 2011","6.722","16.913","1.022","2.501","","","","",""
"Mongolia"," 2015","3.262","","","0.508","","","","","0.294"
"Mongolia"," 2014","3.196","4.068","","1.186","0.36","","","","0.275"
"Mongolia"," 2013","3.117","3.835","","1.399","0.354","","","","0.277"
"Mongolia"," 2012","3.061","3.804","","1.334","0.342","","","","0.287"
"Mongolia"," 2011","2.879","3.676","0.236","0.465","","","","",""
"Mongolia"," 2010","2.764","3.641","0.196","0.434","","","0.161","0.46",""
"Mongolia"," 2009","2.675","3.628","0.198","0.408","","","0.123","0.457",""
"Mongolia"," 2008","2.884","3.653","0.195","0.414","","","0.023","0.448",""
"Mongolia"," 2002","2.755","3.612","0.138","0.447","","0.035","","2.925",""
"Montenegro"," 2015","2.343","5.74","0.04","0.174","","","","",""
"Montenegro"," 2014","2.188","5.847","0.04","0.17","","","","",""
"Montenegro"," 2013","2.142","5.805","0.04","0.168","","","","",""
"Montenegro"," 2012","2.031","5.333","0.04","0.149","","","","",""
"Montenegro"," 2011","2.008","5.52","0.039","0.148","","","","",""
"Montenegro"," 2010","2.039","5.695","0.042","0.146","","","","",""
"Morocco"," 2014","0.618","0.872","0.137","","","","","",""
"Morocco"," 2009","0.652","0.936","0.084","0.284","","","","",""
"Morocco"," 2007","0.589","","","","","","","",""
"Morocco"," 2004","0.531","0.808","0.103","0.245","0.049","0.024","","0.037","0.316"
"Mozambique"," 2013","0.055","0.401","0.016","0.056","0.064","","0.045","0.765",""
"Mozambique"," 2012","0.053","0.392","0.016","0.057","0.066","","0.047","0.761",""
"Mozambique"," 2011","0.051","0.38","0.015","0.052","0.063","","","0.732",""
"Mozambique"," 2010","0.047","0.391","0.018","0.05","0.059","","","0.747",""
"Mozambique"," 2009","0.044","0.382","0.012","0.05","0.057","","","0.743",""
"Mozambique"," 2006","0.025","0.286","","0.038","0.037","","","0.116","0.015"
"Mozambique"," 2004","0.025","0.301","0.008","0.03","0.046","0.027","","0.081","0.462"
"Myanmar"," 2012","0.568","0.93","0.064","","","","0.195","",""
"Myanmar"," 2011","0.539","0.901","0.059","","","","0.194","0.036",""
"Myanmar"," 2010","0.511","0.874","0.055","","","","0.193","0.037",""
"Myanmar"," 2009","0.478","0.843","0.05","","","","0.193","0.036",""
"Myanmar"," 2008","0.465","0.812","0.05","","","","0.082","0.036",""
"Myanmar"," 2007","0.43","0.791","0.04","","","","0.082","0.035",""
"Myanmar"," 2006","0.407","0.77","0.038","","","","0.08","0.035",""
"Myanmar"," 2005","0.372","0.731","0.035","","","","0.077","0.035",""
"Myanmar"," 2004","0.359","","0.028","0.003","0.045","0.001","0.999","0.042","1.002"
"Namibia"," 2007","0.372","2.76","0.043","0.18","0.082","0.067","","0.162",""
"Namibia"," 2004","0.299","3.068","0.056","0.144","0.24","0.12","","0.298","3.886"
"Nauru"," 2011","1.394","6.972","0.598","0.996","0.896","0.697","1.693","0.896","1.693"
"Nauru"," 2010","0.998","","","","","","","",""
"Nauru"," 2009","0.997","","0.299","0.698","0.698","0.997","0.299","1.595","1.496"
"Nauru"," 2008","0.995","6.866","0.1","","","","1.393","1.891",""
"Nauru"," 2004","0.989","6.231","0.099","0.989","","","","",""
"Nauru"," 1995","1.605","6.018","","","","","","",""
"Nepal"," 2014","0.598","2.041","","","","","","",""
"Nepal"," 2013","0.545","1.811","","","","","","",""
"Nepal"," 2012","0.506","1.568","","0.153","","","","",""
"Nepal"," 2004","0.214","0.469","0.014","0.014","0.127","0.007","0.684","0.034",""
"Netherlands"," 2015","3.478","","0.506","0.213","","","","13.498",""
"Netherlands"," 2014","3.424","10.542","0.51","0.215","","","","16.059",""
"Netherlands"," 2013","","","","0.212","","","","17.597",""
"Netherlands"," 2012","","","","0.206","","","","19.179",""
"Netherlands"," 2011","","","","0.208","","","","20.569",""
"Netherlands"," 2010","","","","0.199","","","","20.212",""
"New Zealand"," 2016","","11.148","","0.689","","","","",""
"New Zealand"," 2015","3.061","10.997","","0.679","","","","1.039",""
"New Zealand"," 2014","2.852","10.718","","0.665","","","","1.004",""
"New Zealand"," 2013","2.818","10.644","","0.657","","","","0.977",""
"New Zealand"," 2012","2.698","10.593","","0.645","","","","0.964",""
"New Zealand"," 2011","2.641","10.651","","0.64","","","","0.954",""
"New Zealand"," 2010","2.612","10.579","","0.629","","","","0.96",""
"New Zealand"," 2007","2.302","10.498","0.443","0.682","","","","",""
"New Zealand"," 2002","2.067","","0.409","","","","","",""
"New Zealand"," 2001","2.311","8.51","0.662","0.302","0.946","","","12.286",""
"New Zealand"," 2000","","7.993","","","","","","",""
"Nicaragua"," 2014","0.914","1.384","0.043","","0.227","","","2.601",""
"Nicaragua"," 2013","0.916","1.386","0.044","","0.197","","","2.648",""
"Nicaragua"," 2012","0.876","1.394","0.045","","0.198","","","2.64",""
"Nicaragua"," 2011","0.827","1.388","0.045","","0.193","","","2.621",""
"Nicaragua"," 2010","0.739","1.284","0.045","","0.166","","","2.35",""
"Nicaragua"," 2009","0.713","1.321","0.047","","0.184","","","2.382",""
"Nicaragua"," 2008","0.657","1.308","0.048","","0.172","","","2.476",""
"Nicaragua"," 2007","0.533","1.197","0.044","","0.158","","","2.19",""
"Nicaragua"," 2006","0.498","1.171","0.045","","0.156","","","2.14",""
"Nicaragua"," 2005","0.505","1.17","0.046","","0.158","","","2.118",""
"Nicaragua"," 2003","0.39","1.119","0.046","","","","","",""
"Niger"," 2008","0.019","0.14","0.001","0.001","0.019","0.009","","0.002","0.007"
"Niger"," 2004","0.023","0.217","0.001","0.002","0.023","0.02","","0.037","0.019"
"Nigeria"," 2011","","","","0.104","","","","",""
"Nigeria"," 2009","0.376","","0.016","","0.006","","","0.047",""
"Nigeria"," 2008","0.374","1.489","0.025","0.124","0.156","0.028","0.128","0.01",""
"Nigeria"," 2007","0.376","1.491","0.028","0.127","0.17","0.029","0.131","0.028","0.003"
"Nigeria"," 2006","0.346","1.495","0.016","0.087","","","","0.007",""
"Nigeria"," 2005","0.281","1.529","0.015","0.086","0.005","0.025","","0.155",""
"Nigeria"," 2004","","","","0.047","0.005","","","0.009",""
"Nigeria"," 2003","0.263","1.586","0.019","","","","","",""
"Niue"," 2008","1.84","9.816","2.454","0.613","1.227","3.067","","4.294","1.84"
"Niue"," 2006","2.41","9.036","1.807","0.602","","","","",""
"Niue"," 2004","2.326","12.791","1.163","0.581","","","","",""
"Niue"," 2003","2.273","9.659","1.136","0.568","1.136","1.136","","0.568",""
"Niue"," 1996","1.415","6.132","0.943","0.472","","","","",""
"Norway"," 2015","4.385","17.824","0.851","0.741","","","","19.219",""
"Norway"," 2014","4.42","17.406","0.864","0.721","","","","18.806",""
"Norway"," 2013","4.303","17.198","0.872","0.69","","","","18.84",""
"Norway"," 2012","4.232","17.069","0.865","0.671","","","","18.889",""
"Norway"," 2011","4.187","16.934","0.884","0.645","","","","18.964",""
"Norway"," 2010","4.112","16.648","0.878","0.638","","","","18.94",""
"Norway"," 2009","4.053","31.123","0.868","","","","","1.788",""
"Oman"," 2016","1.915","4.153","0.247","0.881","0.734","0.047","","0.113","0.035"
"Oman"," 2012","1.99","4.408","0.227","1.003","0.813","0.062","","1.873","1.711"
"Oman"," 2011","1.971","4.436","0.226","0.95","0.839","","","0.093",""
"Oman"," 2010","1.991","4.37","0.222","0.946","0.837","","","0.095",""
"Oman"," 2009","2.014","4.381","0.226","0.901","0.806","","","0.095",""
"Oman"," 2008","1.958","4.235","0.21","0.838","0.772","0.078","","3.469",""
"Oman"," 2007","1.892","4.007","0.202","0.816","0.742","0.076","","1.751","1.644"
"Oman"," 2006","1.793","3.766","0.194","0.718","0.708","","","0.078",""
"Oman"," 2005","1.668","3.701","0.179","0.664","0.658","0.067","","1.624","1.594"
"Oman"," 2004","1.581","4.203","0.222","0.634","0.428","0.071","","0.513","1.592"
"Oman"," 2000","1.455","3.496","0.117","0.528","0.556","0.094","","1.345","1.591"
"Oman"," 1999","0.977","2.893","0.048","0.235","0.417","0.09","","2.488",""
"Oman"," 1998","0.943","2.861","0.042","0.22","0.399","0.091","","2.376",""
"Oman"," 1997","0.862","2.6","0.038","0.203","0.372","0.102","","2.456",""
"Oman"," 1995","1.13","2.754","0.065","0.33","0.412","0.087","","1.47","2.026"
"Oman"," 1990","0.795","2.288","0.046","0.239","0.314","","","0.028",""
"Pakistan"," 2015","0.978","0.502","0.088","","","","0.087","",""
"Pakistan"," 2011","0.877","0.447","0.067","","","","0.073","",""
"Pakistan"," 2010","0.852","0.59","0.062","","","","0.068","",""
"Pakistan"," 2009","0.838","0.574","0.059","","","","0.064","",""
"Pakistan"," 2008","0.821","0.557","0.055","","","","0.061","",""
"Pakistan"," 2007","0.8","","","","","","","",""
"Pakistan"," 2005","0.824","","","","","","","",""
"Pakistan"," 2004","0.774","0.478","0.052","0.054","0.065","0.001","","0.127","1.353"
"Pakistan"," 2001","0.681","0.444","0.033","","","","0.04","",""
"Pakistan"," 2000","0.664","0.434","0.03","","","","0.039","",""
"Pakistan"," 1999","0.644","0.432","0.027","","","","0.039","",""
"Pakistan"," 1998","0.626","0.417","0.026","","","","0.038","",""
"Pakistan"," 1997","0.609","0.392","0.025","","","","0.036","",""
"Pakistan"," 1996","0.591","0.369","0.023","","","","0.035","",""
"Pakistan"," 1995","0.568","0.347","0.022","","","","0.034","",""
"Pakistan"," 1994","0.554","0.344","0.022","","","","0.034","",""
"Pakistan"," 1993","0.54","0.334","0.021","","","","0.034","",""
"Pakistan"," 1992","0.528","0.326","0.02","","","","0.033","",""
"Palau"," 2014","1.185","5.261","","","","","","",""
"Palau"," 2010","1.417","5.862","","","","","","",""
"Palau"," 2009","1.426","5.506","","","","","","",""
"Palau"," 2007","","","0.249","0.05","","","","",""
"Palau"," 2006","1.299","5.897","","","","","","",""
"Palau"," 2004","","6.061","","","","","","",""
"Palau"," 1998","1.404","6.102","1.296","0.756","0.702","0.432","","0.378","5.832"
"Panama"," 2013","1.594","","0.272","","","","","",""
"Panama"," 2012","1.609","","0.329","","","","","",""
"Panama"," 2011","1.508","2.33","0.303","","","","","",""
"Panama"," 2010","1.414","2.492","0.301","","","","","",""
"Panama"," 2009","1.317","","0.29","","","","","",""
"Panama"," 2008","1.388","","0.283","","","","","",""
"Panama"," 2007","1.309","","0.275","","","","","",""
"Panama"," 2006","1.354","2.011","0.282","","","","","",""
"Panama"," 2005","1.352","2.011","0.283","","","","","",""
"Panama"," 2004","1.325","1.996","0.283","","","","","",""
"Panama"," 2003","1.343","2.203","0.271","","","","","",""
"Panama"," 2002","1.337","1.919","0.285","","","","","",""
"Panama"," 2001","1.245","1.843","0.248","","","","","",""
"Panama"," 1999","1.233","1.143","0.268","","","","","",""
"Panama"," 1998","1.194","1.094","0.271","","","","","",""
"Panama"," 1997","1.204","1.105","0.261","","","","","",""
"Panama"," 1996","1.206","1.078","0.263","","","","","",""
"Panama"," 1995","1.167","1.045","0.247","","","","","",""
"Panama"," 1994","1.126","1.026","0.233","","","","","",""
"Panama"," 1993","1.178","1.007","0.218","","","","","",""
"Panama"," 1992","1.144","0.964","0.222","","","","","",""
"Panama"," 1991","1.122","0.974","0.21","","","","","",""
"Panama"," 1990","1.113","0.996","0.205","","","","","",""
"Papua New Guinea"," 2012","","","","0.049","","","","",""
"Papua New Guinea"," 2010","0.055","0.532","","","","","","0.713",""
"Papua New Guinea"," 2009","","","0.018","","","","","",""
"Papua New Guinea"," 2008","0.051","0.435","","","","","0.594","0.346","0.278"
"Papua New Guinea"," 2000","0.051","0.529","0.017","","","","","",""
"Paraguay"," 2012","1.286","1.049","0.165","","0.219","","","1.954","0.437"
"Paraguay"," 2002","1.154","1.863","0.578","0.339","","0.024","","1.603",""
"Peru"," 2012","1.116","1.493","0.148","0.051","0.05","0.001","","0.711","3.447"
"Peru"," 2009","0.94","1.299","0.123","0.063","0.039","0.001","","0.765","2.962"
"Peru"," 1999","1.166","0.669","0.11","","","","","",""
"Philippines"," 2015","","0.24","0.019","","","0.027","","0.004",""
"Philippines"," 2011","","","","0.889","","","","",""
"Philippines"," 2004","1.11","5.774","0.543","0.587","","","","",""
"Philippines"," 2002","1.112","5.916","0.532","0.57","","","","",""
"Philippines"," 2000","0.568","2.073","0.11","","","","","1.165",""
"Poland"," 2015","2.29","5.694","0.326","0.728","","","","0.651",""
"Poland"," 2014","2.271","5.737","0.339","0.718","","","","0.637",""
"Poland"," 2013","2.207","5.785","0.319","0.711","","","","0.599",""
"Poland"," 2012","2.202","","0.324","0.695","","","","0.587",""
"Poland"," 2011","2.182","5.793","0.338","0.681","","","","0.569",""
"Poland"," 2010","2.157","5.791","0.325","0.653","","","","0.557",""
"Portugal"," 2016","","","","0.853","","","","",""
"Portugal"," 2015","","","","0.842","","","","2.934",""
"Portugal"," 2014","4.426","6.377","0.877","0.805","","","","2.823",""
"Portugal"," 2013","4.26","","0.848","0.771","","","","2.879",""
"Portugal"," 2012","4.101","","0.805","0.736","","","","2.692",""
"Portugal"," 2011","3.983","","0.768","0.751","","","","0.131",""
"Portugal"," 2010","3.842","","0.766","0.725","","","","3.109",""
"Portugal"," 2009","3.786","5.628","0.624","1.071","","","","",""
"Portugal"," 2008","3.681","5.361","0.57","1.014","","","","",""
"Portugal"," 2007","3.593","5.126","0.534","0.959","","","","",""
"Portugal"," 2006","3.511","4.845","0.539","0.96","","","","",""
"Portugal"," 2005","3.448","4.595","0.482","0.906","","","","",""
"Portugal"," 2004","3.372","4.384","0.451","0.869","","","","",""
"Portugal"," 2003","3.311","4.215","0.423","0.83","","","","",""
"Portugal"," 2002","3.257","4.034","0.399","0.768","","","","",""
"Qatar"," 2014","1.964","5.7","0.572","0.931","","","","",""
"Qatar"," 2010","3.919","6.012","","","","","","",""
"Qatar"," 2009","3.222","4.773","","","","","","",""
"Qatar"," 2008","3.319","6.068","","","","","","",""
"Qatar"," 2006","2.34","6.257","0.492","1.068","0.717","","","0.112",""
"Qatar"," 2005","2.569","5.831","0.824","1.314","","","","",""
"Republic of Korea"," 2016","2.326","6.898","0.478","0.672","","","","0.66",""
"Republic of Korea"," 2015","2.273","6.047","0.468","0.66","","","","0.62",""
"Republic of Korea"," 2014","2.231","5.67","0.458","0.652","","","","0.586",""
"Republic of Korea"," 2013","2.185","5.278","0.451","0.653","","","","0.544",""
"Republic of Korea"," 2012","2.099","4.906","0.441","0.656","","","","0.514",""
"Republic of Korea"," 2011","2.054","4.787","0.434","0.682","","","","0.487",""
"Republic of Korea"," 2010","2.002","4.682","0.426","0.655","","","","0.465",""
"Republic of Korea"," 2009","2.017","5.474","0.505","1.224","","","0.377","6.919",""
"Republic of Korea"," 2008","1.96","5.265","0.493","1.203","","","0.362","6.614",""
"Republic of Korea"," 2007","1.898","5.067","0.48","1.186","","","0.347","6.289",""
"Republic of Korea"," 2006","1.842","4.851","0.465","1.166","","","0.332","5.999",""
"Republic of Korea"," 2005","1.793","4.67","0.453","1.152","","","0.321","5.713",""
"Republic of Korea"," 2004","1.733","4.451","1.393","1.13","1.182","","0.326","3.302",""
"Republic of Moldova"," 2015","3.198","4.508","0.437","","4.467","","","",""
"Republic of Moldova"," 2014","2.537","5.497","0.43","","","","","",""
"Republic of Moldova"," 2013","2.561","5.671","0.43","0.467","","","","",""
"Republic of Moldova"," 2012","2.469","5.794","0.41","","","","","",""
"Republic of Moldova"," 2011","2.467","5.836","0.41","0.46","","","","",""
"Republic of Moldova"," 2010","2.439","5.844","0.402","0.436","","","","",""
"Romania"," 2013","2.669","6.415","0.72","0.82","","","","",""
"Romania"," 2012","2.625","6.207","0.691","0.77","","","","",""
"Romania"," 2011","2.543","6.066","0.663","0.72","","","","",""
"Romania"," 2010","2.502","5.965","0.638","0.667","","","","",""
"Romania"," 2002","1.972","","0.604","0.692","","0.064","","8.604",""
"Russian Federation"," 2015","3.975","8.683","","","","","","",""
"Russian Federation"," 2014","4.163","8.972","","","","","","",""
"Russian Federation"," 2013","4.022","8.794","","","","","","",""
"Russian Federation"," 2012","4.031","8.505","","","","","","",""
"Russian Federation"," 2011","4.244","8.749","","","","","","",""
"Russian Federation"," 2010","5","7.254","","","","","","",""
"Russian Federation"," 2000","","","","","","0.495","","7.554",""
"Rwanda"," 2015","0.064","0.832","0.011","0.01","0.143","0.019","","0.107","0.345"
"Rwanda"," 2010","0.055","0.678","0.012","0.005","0.084","0.012","","0.264","0.101"
"Rwanda"," 2009","0.055","0.662","0.015","0.005","0.089","0.013","","0.283","0.103"
"Rwanda"," 2008","0.052","0.672","0.013","0.004","0.08","0.01","","0.265","0.095"
"Rwanda"," 2004","0.049","0.413","","0.031","","0.011","1.359","0.119","0.098"
"Saint Kitts and Nevis"," 2001","1.06","6.361","0.325","","","","1.039","",""
"Saint Kitts and Nevis"," 1999","1.024","5.874","0.312","","","","0.712","",""
"Saint Kitts and Nevis"," 1998","1.036","5.609","0.27","","","","0.721","",""
"Saint Kitts and Nevis"," 1997","1.094","5.538","0.228","","","","0.387","",""
"Saint Kitts and Nevis"," 1996","1.106","5.854","0.254","","","","0.392","",""
"Saint Kitts and Nevis"," 1995","1.073","5.642","0.256","","","","0.396","",""
"Saint Kitts and Nevis"," 1994","0.921","5.949","0.236","","","","0.401","",""
"Saint Kitts and Nevis"," 1993","0.765","6.836","0.215","","","","0.406","",""
"Saint Kitts and Nevis"," 1992","0.75","6.915","0.218","","","","0.411","",""
"Saint Kitts and Nevis"," 1991","0.683","6.925","0.171","","","","0.415","",""
"Saint Kitts and Nevis"," 1990","0.686","6.931","0.294","","","","0.416","",""
"Saint Lucia"," 2010","","","0.158","","","","","",""
"Saint Lucia"," 2009","0.103","","0.029","","","","","",""
"Saint Lucia"," 2008","0.156","","0.012","","","","","",""
"Saint Lucia"," 2007","0.182","","0.018","","","","","",""
"Saint Lucia"," 2005","0.502","1.971","","","","","","",""
"Saint Lucia"," 2004","0.416","2.294","0.043","","","","","",""
"Saint Lucia"," 2003","0.464","3.06","0.043","","","","","",""
"Saint Lucia"," 2002","0.437","","0.044","","","","","",""
"Saint Lucia"," 2001","0.819","2.338","0.17","0.145","","1.04","","4.847",""
"Saint Lucia"," 1999","","2.135","0.058","","","","","",""
"Saint Vincent and the Grenadines"," 2001","0.574","4.408","0.194","0.213","","0.62","","2.537",""
"Saint Vincent and the Grenadines"," 2000","0.825","4.143","0.046","","","","0.417","",""
"Saint Vincent and the Grenadines"," 1997","0.935","2.556","0.056","","","","","",""
"Samoa"," 2010","0.344","1.537","0.242","","","","","","0.817"
"Samoa"," 2008","0.463","1.897","0.343","0.322","0.354","0.147","","0.305","2.377"
"Samoa"," 2005","0.278","","","0.017","","","","",""
"Samoa"," 2003","0.281","1.745","0.056","0.113","","","","",""
"Samoa"," 1999","0.691","2.009","","0.029","","","","",""
"San Marino"," 2014","6.363","9.085","0.696","0.696","","","","",""
"San Marino"," 2013","5.225","9.493","","0.733","","","","",""
"San Marino"," 2012","5.261","9.56","","0.738","","","","",""
"San Marino"," 2011","5.01","8.985","","0.743","","","","",""
"Sao Tome and Principe"," 2004","0.541","2.057","0.073","0.16","0.341","0.127","1.002","1.943","1.923"
"Saudi Arabia"," 2014","2.568","5.207","0.398","0.701","","","","",""
"Saudi Arabia"," 2012","2.425","4.736","","0.529","","","","2.603",""
"Saudi Arabia"," 2011","2.416","4.677","","0.532","","","","2.574",""
"Saudi Arabia"," 2010","2.35","4.62","","0.531","","","","2.446",""
"Saudi Arabia"," 2009","2.017","4.045","","0.545","","","","2.175",""
"Saudi Arabia"," 2008","1.997","3.788","","0.593","","","","1.928",""
"Saudi Arabia"," 2001","0.657","","0.072","","","","","",""
"Saudi Arabia"," 2000","0.699","1.706","","","","","","","0.507"
"Senegal"," 2016","0.068","0.309","0.011","0.011","0.007","0.009","0","",""
"Senegal"," 2008","0.061","0.43","0.009","0.01","0.019","0.011","","0.182","0.296"
"Senegal"," 2004","0.054","0.3","0.009","0.008","0.006","0.064","","0.064","0.051"
"Serbia"," 2015","","4.719","0.306","0.497","0.684","0.075","","0.289",""
"Serbia"," 2014","2.463","5.333","0.26","0.264","","","","",""
"Serbia"," 2013","2.489","5.376","0.268","0.267","","","","",""
"Serbia"," 2012","2.484","5.357","0.274","0.265","","","","",""
"Serbia"," 2011","2.484","5.382","0.283","0.261","","","","",""
"Serbia"," 2010","2.463","5.305","0.279","0.248","","","","",""
